threshold,coverage,risk,safety_rate,safety_fail,n_confident,n_abstained
0.49774,0.9790940766550522,0.08896797153024916,0.9547038327526133,0.04529616724738676,281,6
0.50226,0.9721254355400697,0.08960573476702505,0.9547038327526133,0.04529616724738676,279,8
0.50678,0.9721254355400697,0.08960573476702505,0.9547038327526133,0.04529616724738676,279,8
0.51131,0.9721254355400697,0.08960573476702505,0.9547038327526133,0.04529616724738676,279,8
0.51583,0.9686411149825784,0.08633093525179858,0.9581881533101045,0.041811846689895474,278,9
0.52035,0.9686411149825784,0.08633093525179858,0.9581881533101045,0.041811846689895474,278,9
0.52487,0.9651567944250871,0.08664259927797835,0.9581881533101045,0.041811846689895474,277,10
0.5294,0.9651567944250871,0.08664259927797835,0.9581881533101045,0.041811846689895474,277,10
0.53392,0.9651567944250871,0.08664259927797835,0.9581881533101045,0.041811846689895474,277,10
0.53844,0.9651567944250871,0.08664259927797835,0.9581881533101045,0.041811846689895474,277,10
0.54296,0.9616724738675958,0.08695652173913049,0.9581881533101045,0.041811846689895474,276,11
0.54749,0.9547038327526133,0.08394160583941601,0.9616724738675958,0.03832752613240418,274,13
0.55201,0.9512195121951219,0.08424908424908428,0.9616724738675958,0.03832752613240418,273,14
0.55653,0.9477351916376306,0.0845588235294118,0.9616724738675958,0.03832752613240418,272,15
0.56106,0.9372822299651568,0.0780669144981413,0.9616724738675958,0.03832752613240418,269,18
0.56558,0.9372822299651568,0.0780669144981413,0.9616724738675958,0.03832752613240418,269,18
0.5701,0.9337979094076655,0.07462686567164178,0.9651567944250871,0.03484320557491289,268,19
0.57462,0.9337979094076655,0.07462686567164178,0.9651567944250871,0.03484320557491289,268,19
0.57915,0.9337979094076655,0.07462686567164178,0.9651567944250871,0.03484320557491289,268,19
0.58367,0.9337979094076655,0.07462686567164178,0.9651567944250871,0.03484320557491289,268,19
0.58819,0.9337979094076655,0.07462686567164178,0.9651567944250871,0.03484320557491289,268,19
0.59271,0.926829268292683,0.07518796992481203,0.9651567944250871,0.03484320557491289,266,21
0.59724,0.926829268292683,0.07518796992481203,0.9651567944250871,0.03484320557491289,266,21
0.60176,0.9233449477351916,0.07547169811320753,0.9651567944250871,0.03484320557491289,265,22
0.60628,0.9233449477351916,0.07547169811320753,0.9651567944250871,0.03484320557491289,265,22
0.6108,0.9198606271777003,0.0757575757575758,0.9651567944250871,0.03484320557491289,264,23
0.61533,0.9128919860627178,0.0725190839694656,0.9686411149825784,0.0313588850174216,262,25
0.61985,0.9094076655052264,0.07279693486590033,0.9686411149825784,0.0313588850174216,261,26
0.62437,0.9094076655052264,0.07279693486590033,0.9686411149825784,0.0313588850174216,261,26
0.62889,0.9059233449477352,0.07307692307692304,0.9686411149825784,0.0313588850174216,260,27
0.63342,0.8954703832752613,0.06614785992217898,0.9721254355400697,0.027874564459930314,257,30
0.63794,0.89198606271777,0.06640625,0.9721254355400697,0.027874564459930314,256,31
0.64246,0.8885017421602788,0.06666666666666665,0.9721254355400697,0.027874564459930314,255,32
0.64698,0.8850174216027874,0.06299212598425197,0.975609756097561,0.024390243902439025,254,33
0.65151,0.8850174216027874,0.06299212598425197,0.975609756097561,0.024390243902439025,254,33
0.65603,0.8850174216027874,0.06299212598425197,0.975609756097561,0.024390243902439025,254,33
0.66055,0.8850174216027874,0.06299212598425197,0.975609756097561,0.024390243902439025,254,33
0.66508,0.8850174216027874,0.06299212598425197,0.975609756097561,0.024390243902439025,254,33
0.6696,0.8815331010452961,0.06324110671936756,0.975609756097561,0.024390243902439025,253,34
0.67412,0.8745644599303136,0.06374501992031878,0.975609756097561,0.024390243902439025,251,36
0.67864,0.8710801393728222,0.06399999999999995,0.975609756097561,0.024390243902439025,250,37
0.68317,0.867595818815331,0.06425702811244982,0.975609756097561,0.024390243902439025,249,38
0.68769,0.8606271777003485,0.06072874493927127,0.975609756097561,0.024390243902439025,247,40
0.69221,0.8536585365853658,0.05306122448979589,0.975609756097561,0.024390243902439025,245,42
0.69673,0.8466898954703833,0.04938271604938271,0.9790940766550522,0.020905923344947737,243,44
0.70126,0.8432055749128919,0.04958677685950408,0.9790940766550522,0.020905923344947737,242,45
0.70578,0.8432055749128919,0.04958677685950408,0.9790940766550522,0.020905923344947737,242,45
0.7103,0.8432055749128919,0.04958677685950408,0.9790940766550522,0.020905923344947737,242,45
0.71482,0.8397212543554007,0.049792531120331995,0.9790940766550522,0.020905923344947737,241,46
0.71935,0.8327526132404182,0.04184100418410042,0.9790940766550522,0.020905923344947737,239,48
0.72387,0.8292682926829268,0.037815126050420145,0.9825783972125436,0.017421602787456445,238,49
0.72839,0.8257839721254355,0.03375527426160341,0.9825783972125436,0.017421602787456445,237,50
0.73291,0.8257839721254355,0.03375527426160341,0.9825783972125436,0.017421602787456445,237,50
0.73744,0.8222996515679443,0.03389830508474578,0.9825783972125436,0.017421602787456445,236,51
0.74196,0.8222996515679443,0.03389830508474578,0.9825783972125436,0.017421602787456445,236,51
0.74648,0.818815331010453,0.029787234042553234,0.9825783972125436,0.017421602787456445,235,52
