run,t_s,distance_to_boundary_m,label,confidence,band
reobservation_official,981.57,0.421,sand,0.603,0.3-0.6m
reobservation_official,984.18,0.447,sand,0.628,0.3-0.6m
reobservation_official,989.69,0.5,sand,0.925,0.3-0.6m
reobservation_official,994.37,0.5,sand,0.548,0.3-0.6m
reobservation_official,996.81,0.499,soil,0.54,0.3-0.6m
reobservation_official,999.77,0.5,sand,0.518,0.3-0.6m
reobservation_official,1002.63,0.456,bedrock,0.449,0.3-0.6m
reobservation_official,1006.26,0.418,bedrock,0.41,0.3-0.6m
reobservation_official,1008.97,0.279,sand,0.72,0.0-0.3m
reobservation_official,1012.02,0.204,bedrock,0.756,0.0-0.3m
reobservation_official,1014.45,0.163,bedrock,0.637,0.0-0.3m
reobservation_official,1017.09,0.061,bedrock,0.923,0.0-0.3m
reobservation_official,1019.93,0.055,bedrock,0.687,0.0-0.3m
reobservation_official,1024.47,0.188,soil,0.568,0.0-0.3m
reobservation_official,1026.89,0.307,soil,0.572,0.3-0.6m
reobservation_official,1029.52,0.318,bedrock,0.81,0.3-0.6m
reobservation_official,1032.07,0.39,soil,0.502,0.3-0.6m
reobservation_official,1034.6,0.392,bedrock,0.58,0.3-0.6m
reobservation_official,1037.56,0.459,soil,0.81,0.3-0.6m
reobservation_official,1041.1,0.486,bedrock,0.443,0.3-0.6m
reobservation_official,1043.86,0.512,sand,0.47,0.3-0.6m
reobservation_official,1046.52,0.511,soil,0.417,0.3-0.6m
reobservation_official,1049.37,0.51,sand,0.58,0.3-0.6m
reobservation_official,1054.91,0.452,sand,0.819,0.3-0.6m
reobservation_official,1058.13,0.316,sand,0.836,0.3-0.6m
reobservation_official,1062.6,0.016,sand,0.839,0.0-0.3m
reobservation_official,1068.01,0.314,sand,0.55,0.3-0.6m
reobservation_official,1071.67,0.34,sand,0.67,0.3-0.6m
reobservation_official,1074.86,0.436,sand,0.958,0.3-0.6m
reobservation_official,1078.02,0.535,sand,0.911,0.3-0.6m
reobservation_official,1081.0,0.533,sand,0.774,0.3-0.6m
reobservation_official,1089.39,0.567,sand,0.78,0.3-0.6m
reobservation_official,1092.13,0.572,sand,0.855,0.3-0.6m
reobservation_official,1095.77,0.577,sand,0.703,0.3-0.6m
reobservation_official,1099.03,0.555,bedrock,0.666,0.3-0.6m
reobservation_official,1103.11,0.387,bedrock,0.641,0.3-0.6m
reobservation_official,1109.37,0.111,bedrock,0.622,0.0-0.3m
reobservation_official,1112.29,0.004,soil,0.68,0.0-0.3m
reobservation_official,1114.84,0.115,bedrock,0.529,0.0-0.3m
reobservation_official,1122.43,0.3,bedrock,0.642,0.3-0.6m
reobservation_official,1125.39,0.432,bedrock,0.678,0.3-0.6m
reobservation_official,1128.5,0.599,bedrock,0.633,0.3-0.6m
reobservation_official,1131.55,0.736,bedrock,0.619,0.6-1.0m
reobservation_official,1135.49,0.948,soil,0.808,0.6-1.0m
reobservation_official,1138.35,1.119,bedrock,0.645,1.0-2.0m
reobservation_official,1141.27,1.303,bedrock,0.702,1.0-2.0m
reobservation_official,1144.4,1.375,bedrock,0.72,1.0-2.0m
reobservation_official,1148.58,1.438,bedrock,0.655,1.0-2.0m
reobservation_official,1153.42,1.475,bedrock,0.748,1.0-2.0m
reobservation_official,1156.23,1.532,bedrock,0.651,1.0-2.0m
reobservation_official,1159.57,1.648,bedrock,0.494,1.0-2.0m
reobservation_official,1162.43,1.704,soil,0.558,1.0-2.0m
reobservation_official,1165.7,1.773,bedrock,0.668,1.0-2.0m
reobservation_official,1170.31,1.96,bedrock,0.516,1.0-2.0m
reobservation_official,1173.66,2.055,soil,0.528,>=2.0m
reobservation_official,1176.54,2.045,soil,0.565,>=2.0m
reobservation_official,1182.07,2.061,bedrock,0.514,>=2.0m
reobservation_official,1185.06,2.077,bedrock,0.668,>=2.0m
reobservation_official,1188.11,2.201,bedrock,0.91,>=2.0m
reobservation_official,1191.49,2.392,bedrock,0.568,>=2.0m
reobservation_official,1194.55,2.481,soil,0.54,>=2.0m
reobservation_official,1199.05,2.566,soil,0.509,>=2.0m
